experiment,worker,episode,return,average_return,best_return,mean_time_travel,average_mean_time_travel,best_mean_time_travel,success_rate,average_success_rate,best_success_rate
random_easy,0,196,469.9380548747475,-439.3784301922683,-93.8112233624178,100.0,91.99,7.0,0.0,0.01,0.125
random_easy,0,197,-2506.2631782747544,-488.0478567444727,-93.8112233624178,100.0,91.99,7.0,0.0,0.01,0.125
random_easy,0,198,2379.8013236802,-479.5183962539036,-93.8112233624178,100.0,91.99,7.0,0.0,0.01,0.125
random_easy,0,199,352.5178403618228,-502.6589292058198,-93.8112233624178,100.0,91.99,7.0,0.0,0.01,0.125
random_easy,0,200,-1985.816434377059,-525.4254586114756,-93.8112233624178,100.0,91.99,7.0,0.0,0.01,0.125
random_easy,0,201,725.0688285395909,-528.6572504309286,-93.8112233624178,100.0,91.99,7.0,0.0,0.01,0.125
random_easy,0,202,167.3697632506101,-531.4002480401823,-93.8112233624178,100.0,91.99,7.0,0.0,0.01,0.125
random_easy,0,203,1034.5142417349387,-529.5025069079674,-93.8112233624178,100.0,91.99,7.0,0.0,0.01,0.125
random_easy,0,204,2381.6116138157367,-505.43579937855714,-93.8112233624178,100.0,91.99,7.0,0.0,0.01,0.125
random_easy,0,205,-123.59842629720083,-504.8161434155325,-93.8112233624178,100.0,91.99,7.0,0.0,0.01,0.125
random_easy,0,206,-695.4814135243041,-470.15289995010824,-93.8112233624178,92.0,91.91,7.0,0.0,0.01,0.125
random_easy,0,207,-2117.038039789978,-442.4129127406233,-93.8112233624178,100.0,91.91,7.0,0.0,0.01,0.125
random_easy,0,208,223.03833672501526,-446.4580500424623,-93.8112233624178,69.0,91.6,7.0,0.0,0.01,0.125
random_easy,0,209,1956.6361819745273,-397.1771699758841,-93.8112233624178,100.0,91.6,7.0,0.0,0.01,0.125
random_easy,0,210,162.14973431861262,-399.4579776772522,-93.8112233624178,7.0,90.67,7.0,1.0,0.02,0.125
random_easy,0,211,-784.2430370858947,-401.8998098978589,-93.8112233624178,100.0,90.67,7.0,0.0,0.02,0.125
random_easy,0,212,-894.4475280905917,-412.6134047771968,-93.8112233624178,100.0,90.67,7.0,0.0,0.02,0.125
random_easy,0,213,-114.19547494401621,-405.5610454474074,-93.8112233624178,100.0,90.67,7.0,0.0,0.02,0.125
random_easy,0,214,-131.4932930739966,-378.16372431302875,-93.8112233624178,6.0,89.73,7.0,0.0,0.02,0.125
random_easy,0,215,1098.724445221627,-352.6962016980975,-93.8112233624178,100.0,89.73,7.0,0.0,0.02,0.125
random_easy,0,216,4571.9571828867765,-250.63849384518682,-93.8112233624178,100.0,89.73,7.0,0.0,0.02,0.125
