task,episode,step,agent,pos_x,pos_y,distance_to_goal,heading_error,min_obstacle_distance,v,omega,reward,reward_progress,reward_rotation,reward_safety,reward_collision,state,block
task7_fixed_random_1,180,1997,agent_1,9.04586124420166,22.578161239624023,36.951404895842366,1.5908021926879883,5.031493186950684,0.28534865379333496,-0.4881965219974518,-1.690669298171997,9.411103248596191,-1.4541165828704834,0.0,0.0,active,0
task7_fixed_random_1,180,1998,agent_1,9.053955078125,22.08656883239746,36.75276026787412,1.1609902381896973,5.126472473144531,0.49165964126586914,0.44201603531837463,-0.21883569657802582,9.387645721435547,-1.6494947671890259,0.0,0.0,active,0
task7_fixed_random_1,180,1999,agent_1,7.064446926116943,20.302959442138672,37.98324348657938,2.0808563232421875,6.064446926116943,2.671966552734375,-0.8563759326934814,-3.541862964630127,6.57916259765625,-2.3828744888305664,0.0,0.0,active,0
task7_fixed_random_1,180,2000,agent_1,7.18568229675293,19.517457962036133,37.62070162100098,1.106520652770996,5.765279522327507,0.7948023080825806,0.993046760559082,0.4161720871925354,7.981476783752441,-3.369016408920288,0.0,0.0,active,0
task7_fixed_random_1,180,2001,agent_1,6.249835014343262,18.542644500732422,38.23247284105246,2.0564324855804443,3.868130702544188,1.3513216972351074,-0.9181398153305054,-3.1991934776306152,5.6252641677856445,-4.211997032165527,0.0,0.0,active,0
task7_fixed_random_1,180,2002,agent_1,6.5920000076293945,15.791909217834473,37.23246315654434,1.236205816268921,-0.10916656828247606,2.771934747695923,0.8887618780136108,-350.5144348144531,5.734047889709473,-5.001894950866699,-149.83333333333331,-200.0,truncated,0
task7_fixed_random_1,200,2961,agent_1,16.084674835205078,20.009790420532227,39.121361835937066,-0.2177903652191162,2.9902095794677734,0.08523821830749512,0.11511385440826416,-1.8970192670822144,-1.8826749324798584,-0.013251199387013912,-0.0010931678116321564,0.0,active,0
task7_fixed_random_1,200,2962,agent_1,16.152706146240234,20.151535034179688,39.06849732073634,-1.2297718524932861,2.8484649658203125,0.1572246551513672,1.0081939697265625,-2.918905258178711,-3.766920566558838,-1.0297062397003174,-0.019297800958156586,0.0,active,0
task7_fixed_random_1,200,2963,agent_1,16.314037322998047,20.43352508544922,38.939181461988845,-1.1652384996414185,2.5664749145507812,0.3248777389526367,-0.07217437773942947,-1.8070038557052612,-5.507653713226318,-1.0349153280258179,-0.080359548330307,0.0,active,0
task7_fixed_random_1,200,2964,agent_1,16.37289047241211,20.517656326293945,38.89039481849953,-1.0767991542816162,2.4823436737060547,0.10267305374145508,-0.09076089411973953,-1.9951411485671997,-7.417798042297363,-1.0431528091430664,-0.15711915493011475,0.0,active,0
task7_fixed_random_1,200,2965,agent_1,16.407682418823242,20.524799346923828,38.85666976744568,-0.3191961348056793,2.475200653076172,0.03551816940307617,-0.7578896284103394,-2.604630947113037,-9.369865417480469,-1.6175494194030762,-0.23528575897216797,0.0,active,0
task7_fixed_random_1,200,2966,agent_1,16.504867553710938,20.4901180267334,38.75611412346874,0.22666218876838684,2.5098819732666016,0.10318732261657715,-0.545261561870575,-2.226926803588867,-11.228034973144531,-1.9148595333099365,-0.3067329525947571,0.0,active,0
task7_fixed_random_1,200,2967,agent_1,16.6261043548584,20.435848236083984,38.629426821502115,0.305804580450058,2.5641517639160156,0.13282990455627441,-0.07811059057712555,-1.887756586074829,-13.048215866088867,-1.920960783958435,-0.36820751428604126,0.0,active,0
task7_fixed_random_1,200,2968,agent_1,16.746723175048828,20.289045333862305,38.49297465411412,0.7713398337364197,2.7109546661376953,0.19000005722045898,-0.46210652589797974,-2.038525342941284,-14.835763931274414,-2.134503126144409,-0.4056425988674164,0.0,active,0
task7_fixed_random_1,200,2969,agent_1,16.774171829223633,20.271636962890625,38.463759848517846,0.453925758600235,2.728363037109375,0.03250384330749512,0.3177843987941742,-2.09360933303833,-16.793548583984375,-2.235490083694458,-0.4404814541339874,0.0,active,0
